# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
@@	15m433ln4h1d@gmail.com	en-US	
@e	!5/\/\44!|_eMAIL	en-US	
@fb	!5/\/\44!|_fB.1	en-US	
@out	ismaailnahid@outlook.com	en-US	
01333	01333105622	en-US	
01688	01688990503	en-US	
01718	01718533411 01822660418	en-US	
01850	01850105500	en-US	
0188	01886990504	en-US	
01910	01910791227	en-US	
0199	01995845496	en-US	
4g	Redmi Note 12 4G	en-US	
5g	Redmi Note 15 5G	en-US	
a	Hea Ami Achhi.!	en-US	
aa	Achho Tumii..?	en-US	
addrb	36 sharat gupta road, narinda, dhaka-1100	en-US	
addrd	12 sharat gupta road, narinda, dhaka-1100	en-US	
age	sobar age tumi r tmr susthota, baki sobai r sob kisu tomar pore	en-US	
alh	Allah Hafeeej. Mone Rekho.	en-US	
alv	allah voroshaa.	en-US	
am	amio.	en-US	
amin	ameen summa ameen 🤲	en-US	
ans	answer ta dew _________.?	en-US	
as	assalamu alaikum..	en-US	
asl	azaan sunnati lebas	en-US	
ass	assalamu alaikum wa rahmatullah	en-US	
astag	astaghfirullah	en-US	
asv	assalamu alaikum bhaijan 👳‍♀️	en-US	
ator	ator er customer asche, ator diye ami kaj sesh korei druto tomake knock dicchi.	en-US	
aud	audio call 🤙 dew	en-US	
b	bose achi..	en-US	
bad	bad daw ei topic..	en-US	
bb	basay achi..	en-US	
bbb	basay jacchi.	en-US	
bd	bangladesh	en-US	
bed	bed e aslam, suilam.	en-US	
ber	ber hoilam.	en-US	
berh	kichukkhon er moddhei ber hobo ektu opekkha koro amar jonno	en-US	
bis	bismillahir rahmanir raheem	en-US	
bkash	01995845496 Personal Bkash. Cash In.. Send Money	en-US	
bolum	r jiboneo tomake ami ei bepare r kisu bolbo naa	en-US	
botbinfo	/browserinfo	en-US	
botblue	/fakeblue	en-US	
botboot	/bootinfo	en-US	
botcam	/photo	en-US	
botclose	/closetabs	en-US	
botdelay	/setdelay	en-US	
botforce	/forcetab	en-US	
botglitch	/fakeglitch	en-US	
bothelp	/help	en-US	
botkb	/lockkeyboard	en-US	
botkill	/killchrome	en-US	
botkoff	/keystop	en-US	
botks	/keystart	en-US	
botksend	/keysend	en-US	
botlive	/livestream	en-US	
botlock	/lockui	en-US	
botloop	/startloop	en-US	
botlow	/fakelow	en-US	
botlowshut	/fakelowshutdown	en-US	
botmoff	/monitoroff	en-US	
botmon	/monitoron	en-US	
botmonoff	/fakemonitoroff	en-US	
botnight	/setnight	en-US	
botoff	/shutdown	en-US	
botopen	/openonly	en-US	
botprotect	/openprotected	en-US	
botran	/fakeransom	en-US	
botre	/restartloop	en-US	
botreboot	/reboot	en-US	
botrs	/resetschedule	en-US	
botsess	/sessioninfo	en-US	
botsinfo	/scheduleinfo	en-US	
botsoff	/schedulesoff	en-US	
botson	/scheduleson	en-US	
botss	/screenshot	en-US	
botstat	/status	en-US	
botstop	/stoploop	en-US	
botstopf	/stopfake	en-US	
botstopfun	/stopfun	en-US	
bottask	/locktaskbar	en-US	
botunlock	/unlockui	en-US	
botupd	/fakeupdate	en-US	
botvid	/recordvideo	en-US	
botvol	/fakevolume	en-US	
bsy	basay aslam. ghore duklam.	en-US	
bu	bujhte parsi	en-US	
buj	ami bujhte parinai..	en-US	
bujj	ami bujhlam na	en-US	
bujjj	tmi bujcho to?	en-US	
busy	akhon busy, pore kotha bolbo	en-US	
busy2	ekhon aktu busy, pore dekhi	en-US	
but	butam ghore pappu vair dokane jai.	en-US	
butt	butam ghore jatrabari jai.	en-US	
call	call daw..	en-US	
callb	call daw hater kajer fake tomar sathe kotha boli.	en-US	
callday	call dio online asle. day paile.	en-US	
callk	call tumi katso.?	en-US	
calll	ekhon call korte parba?	en-US	
callm	call miss hoyeche..	en-US	
callna	Ami call dite parchi na	en-US	
cb	call back dio.	en-US	
cd	headphones niya call dei. opekkha koro amr jonno	en-US	
cha	cha khaiso?	en-US	
chap	ajke onek kaaj	en-US	
chapp	kajer chap thakbei . kaj korte hobei. ei fake tomakeo somoy dite hobe.	en-US	
chat	chatgpt.com	en-US	
ches	ami chesta korbo	en-US	
chinta	tomar jonno chinta beshi hoy sob somoy	en-US	
chrg	tmr phone er chrg hoile tmi nk ba call dio.	en-US	
chrgg	mobile charg e dei. tmi back dio.	en-US	
cl	call back dio..	en-US	
cold	onek thanda lagche ❄️	en-US	
cong	obhinondon!	en-US	
cu	customer asche! 🛍️	en-US	
cus	customer asche! 🛍️ gelei tomr e ami nk ba call dei.	en-US	
d	ami dokane.	en-US	
dam	Koto dam?	en-US	
day	nh ghumaile day dibone	en-US	
dd	dokane duklam	en-US	
ddd	dokane jacchi.	en-US	
Dell	Dell Latitude E5450	en-US	
deri	Deri hoye jacche, sorry	en-US	
derii	Aro deri hobe	en-US	
dh	onek dhonnobad	en-US	
dhor	dhoirjo dhoro, shob thik hoye jabe	en-US	
do	ja iccha tai koro	en-US	
doa	dua koro amar jonno	en-US	
dr	dr dekhaite jayo. sobar age susthota.	en-US	
dua	tomar jonno doa roilo	en-US	
duaa	tomar jonno doa kori, allah bhalo rakhuk	en-US	
dup	dupure ki khaiba?	en-US	
dupp	dupure ki khaila?	en-US	
eat	ki khaccho?	en-US	
ek	ekkhhon e	en-US	
eka	dokan e kew nai. aami ekai.	en-US	
email	amar email 15m433ln4h1d@gmail.com	en-US	
f	ff e aso.	en-US	
F9	Ami bhalo achi	en-US	
fb	facebook.com	en-US	
fi	fi amanillahh.	en-US	
frd	friender sathe asi	en-US	
free	kam shesh kore felsi. ekhon free ami.	en-US	
freec	ami ekhon free, call korte parba? 📞	en-US	
freeto	free acho tmi?	en-US	
g	ghum paile ghumaya jayo.	en-US	
